x,Curve1,Curve2,Curve3,Curve4
33.871,-0.905,-0.1958,-0.9072,-0.5477
33.91,-0.8963,-0.2181,-0.9002,-0.6093
33.997,-0.867,-0.2712,-0.8794,-0.7976
34.046,-0.8438,-0.3041,-0.8624,-0.8508
34.126,-0.7912,-0.3705,-0.8132,-0.9087
34.214,-0.7068,-0.4761,-0.6887,-0.95
34.343,-0.5389,-0.663,-0.4889,-0.9885
34.383,-0.5059,-0.6985,-0.4336,-0.9963
34.388,-0.5027,-0.7028,-0.4263,-0.9973
34.476,-0.4775,-0.7662,-0.3104,-1.0097
34.69,-0.4322,-0.8839,-0.0625,-1.0212
34.781,-0.3234,-0.9247,0.0358,-1.02
34.9,-0.118,-0.9706,0.1666,-1.0132
34.909,-0.1053,-0.9739,0.1777,-1.0123
35,-0.0125,-1.0023,0.3114,-1.002
35.072,0.0444,-1.0204,0.4846,-0.9899
35.127,0.0999,-1.0312,0.5511,-0.9772
35.128,0.1033,-1.0316,0.5526,-0.9767
35.132,0.2741,-1.0321,0.555,-0.9759
35.346,0.4589,-1.0435,0.6653,-0.8682
35.373,0.4786,-1.0411,0.6802,-0.8462
35.435,0.5273,-1.0315,0.7281,-0.7906
35.462,0.5509,-1.0253,0.7656,-0.7654
35.564,0.9527,-0.9872,0.9201,-0.6672
35.653,0.9776,-0.9333,0.9589,-0.5762
35.719,0.9837,-0.8808,0.9711,-0.5002
35.739,0.9846,-0.8631,0.9734,-0.4747
35.811,0.9855,-0.7927,0.9784,-0.074
35.814,0.9855,-0.7894,0.9785,-0.0667
36.157,0.9665,-0.2525,0.9643,0.2438
36.162,0.9661,-0.2412,0.9637,0.2474
36.428,0.9384,0.3748,0.927,0.4523
36.466,0.9337,0.4633,0.9199,0.4975
36.598,0.9165,0.7026,0.8913,0.6715
36.637,0.9109,0.5461,0.8813,0.7208
36.73,0.8971,0.9847,0.8541,0.8227
36.902,0.8683,1.1431,0.7884,0.9527
36.986,0.8523,1.16,0.7475,0.9909
37.159,0.8117,1.1481,0.6368,1.0364
37.199,0.7993,1.14,0.6003,1.0421
37.205,0.7971,1.1386,0.5936,1.0429
37.284,0.7609,1.1188,0.4783,1.0495
37.323,0.0809,1.1077,0.3533,1.0507
37.408,-0.0198,1.0805,0.004,1.0488
37.549,-0.1565,1.0299,-0.2923,1.0297
37.662,-0.2634,0.987,-0.4319,0.9895
37.664,-0.2652,0.9864,-0.4314,0.9886
37.664,-0.2656,0.9862,-0.4313,0.9884
37.72,-0.3279,0.9656,-0.3484,0.9511
37.848,-0.4983,0.92,-0.5992,0.8053
37.877,-0.5344,0.9094,-0.6456,0.7688
38.003,-0.6675,0.8573,-0.8036,0.623
38.189,-0.7972,0.7503,-0.9133,0.4592
38.235,-0.8199,0.7156,-0.9259,0.4287
38.304,-0.8485,0.6557,-0.9379,0.3882
38.574,-0.9131,0.3448,-0.9415,0.2477
38.647,-0.9216,0.236,-0.9382,0.1805
38.66,-0.9227,0.2157,-0.9377,0.1616
38.701,-0.9258,0.1411,-0.9361,0.0362
38.784,-0.929,-0.0215,-0.933,-0.2651
38.829,-0.929,-0.0792,-0.9311,-0.3334
38.954,-0.9226,-0.2013,-0.9235,-0.5022
39.035,-0.9125,-0.2769,-0.9152,-0.6865
39.166,-0.884,-0.4133,-0.8924,-0.8099
39.17,-0.8828,-0.4189,-0.8914,-0.8126
39.338,-0.8184,-0.6613,-0.8291,-0.8924
39.34,-0.8175,-0.6625,-0.8281,-0.8931
39.598,-0.656,-0.7879,-0.5408,-0.9576
39.644,-0.6214,-0.8052,-0.1146,-0.9635
39.647,-0.6191,-0.8063,-0.1111,-0.9638
39.982,-0.3288,-0.9035,0.0677,-0.9573
40.026,-0.2855,-0.9124,0.0899,-0.9496
40.076,-0.2329,-0.9214,0.1175,-0.9388
40.08,-0.2288,-0.9221,0.1197,-0.9379
40.339,0.1325,-0.9472,0.2987,-0.8571
40.515,0.5094,-0.9434,0.4531,-0.7883
40.515,0.5107,-0.9434,0.4537,-0.7881
40.715,0.8116,-0.9123,0.6337,-0.7184
40.732,0.8264,-0.9079,0.6454,-0.7154
40.76,0.8489,-0.8996,0.6646,-0.7136
40.801,0.8762,-0.8853,0.6916,-0.7301
40.864,0.9082,-0.8567,0.7318,-0.803
40.976,0.9446,-0.4301,0.8014,-0.5787
40.979,0.9453,-0.4251,0.8033,-0.5715
41.022,0.9545,-0.3672,0.8294,-0.4636
41.068,0.9626,-0.3131,0.8575,-0.1366
41.243,0.9793,-0.1329,0.9607,0.1134
41.252,0.9797,-0.1237,0.966,0.121
41.458,0.9806,0.107,1.0516,0.2553
41.461,0.9805,0.1118,1.0518,0.257
41.511,0.9788,0.4529,1.0513,0.2852
41.547,0.9773,0.4952,1.0448,0.3057
41.683,0.956,0.6325,0.9852,0.39
41.851,0.8532,0.784,0.8716,0.5237
41.853,0.8511,0.7865,0.8695,0.5265
41.854,0.8506,0.7871,0.869,0.5272
42.069,0.6853,0.9339,0.6949,0.8058
42.157,0.614,0.9596,0.6179,0.9177
42.329,0.4634,1.0012,0.4573,0.9981
42.366,0.4278,1.0094,0.4212,1.0066
42.409,0.3827,1.0185,0.3783,1.0149
42.492,0.1199,1.0354,0.2903,1.0273
42.704,-0.2454,1.0713,-0.0029,1.0424
42.706,-0.2492,1.0717,-0.0083,1.0424
42.789,-0.3764,1.0806,-0.3095,1.0421
42.804,-0.4026,1.0815,-0.3609,1.0417
42.831,-0.4506,1.0822,-0.4252,1.0405
42.976,-0.6679,1.001,-0.5944,1.0238
43.061,-0.7499,0.9085,-0.651,1.0009
43.13,-0.7988,0.8484,-0.6877,0.9696
43.171,-0.8223,0.8145,-0.7072,0.9416
43.275,-0.8656,0.733,-0.7499,0.7931
43.358,-0.89,0.6682,-0.7799,0.4918
43.614,-0.9355,0.4542,-0.8577,0.2611
43.701,-0.9452,0.3701,-0.8804,0.1749
43.826,-0.9567,0.2277,-0.9099,-0.0145
43.902,-0.9633,0.1241,-0.9261,-0.2012
43.952,-0.9676,0.0469,-0.9359,-0.3479
44.082,-0.978,-0.2197,-0.9583,-0.5639
44.117,-0.9802,-0.3262,-0.9632,-0.5946
44.121,-0.9804,-0.3398,-0.9638,-0.5979
44.208,-0.9833,-0.5401,-0.9728,-0.6623
44.505,-0.9247,-0.7371,-0.8617,-0.8343
44.506,-0.9243,-0.7373,-0.8606,-0.8346
44.592,-0.8544,-0.7695,-0.7074,-0.8735
44.636,-0.8032,-0.7837,-0.6309,-0.8911
44.725,-0.6783,-0.8085,-0.508,-0.9211
44.811,-0.5786,-0.8284,-0.4262,-0.9421
45.073,-0.4854,-0.8732,-0.258,-0.9686
45.113,-0.4567,-0.8784,-0.2362,-0.9693
45.151,-0.417,-0.8829,-0.2155,-0.9695
45.247,-0.2613,-0.8928,0.1664,-0.9684
45.249,-0.2555,-0.8931,0.1715,-0.9683
45.377,0.0113,-0.9033,0.3027,-0.9634
45.41,0.0761,-0.9054,0.3287,-0.9615
45.597,0.3925,-0.9129,0.4728,-0.9457
45.64,0.46,-0.9134,0.5173,-0.9405
45.772,0.6433,-0.9107,0.678,-0.919
45.884,0.7225,-0.9014,0.743,-0.8861
45.902,0.7293,-0.8991,0.7515,-0.8777
45.973,0.7475,-0.8857,0.7849,-0.6554
46.057,0.7589,-0.854,0.8226,-0.5716
46.146,0.7674,-0.5528,0.8626,-0.5113
46.205,0.7736,-0.4534,0.8896,-0.4728
46.32,0.7922,-0.3302,0.9433,-0.3861
46.376,0.8062,-0.2787,0.9662,-0.3325
46.538,0.868,-0.1361,1.0056,-0.1418
46.669,0.9268,-0.02,1.0018,-0.0078
46.766,0.9655,0.0679,0.9794,0.064
46.895,0.9986,0.1888,0.929,0.1454
47.06,0.9966,0.3565,0.8473,0.2678
47.061,0.9964,0.3576,0.8468,0.2691
47.062,0.9962,0.3598,0.8458,0.2715
47.106,0.9877,0.5499,0.8228,0.6863
47.238,0.9407,0.8152,0.7523,0.8512
47.325,0.8833,0.9192,0.7098,0.9146
47.412,0.6833,0.9922,0.6772,0.964
47.451,0.5884,1.0153,0.6717,0.983
47.452,0.5866,1.0158,0.6717,0.9834
47.454,0.5826,1.0168,0.6718,0.9843
47.619,0.3219,1.0689,0.2294,1.053
47.628,0.3094,1.0702,0.2166,1.0564
47.832,0.0307,1.0731,0.0297,1.1154
47.93,-0.1024,1.0628,-0.0251,1.1192
47.973,-0.161,1.0571,-0.0471,1.1141
48.089,-0.3043,1.0348,-0.1102,1.0814
48.173,-0.392,1.0065,-0.3282,1.0429
48.215,-0.4307,0.987,-0.382,1.0193
48.358,-0.5431,0.8898,-0.7446,0.9157
48.359,-0.5432,0.8896,-0.745,0.9154
48.386,-0.5614,0.8664,-0.7711,0.8916
48.426,-0.5873,0.8289,-0.7961,0.8527
48.656,-0.7014,0.5619,-0.8829,0.5629
48.772,-0.7384,0.3612,-0.9165,0.2758
