x,Curve1,Curve2,Curve3,Curve4
38.3309,0.7306,-0.616,0.8173,0.5152
38.5567,0.7991,-0.4422,0.6513,0.6703
38.6404,0.8376,-0.3779,0.5829,0.7194
38.6695,0.8532,-0.3558,0.5571,0.7373
38.785,0.9226,-0.2687,0.4361,0.8153
38.838,0.9522,-0.2295,0.3732,0.8534
38.8464,0.9562,-0.2234,0.3631,0.8595
38.9798,0.9776,-0.1274,0.1982,0.9522
39.008,0.9737,-0.1075,0.1631,0.9684
39.0424,0.9668,-0.0834,0.1206,0.9841
39.2347,0.9377,0.0482,-0.0908,0.9807
39.2709,0.9367,0.0725,-0.1233,0.9711
39.3201,0.9376,0.1053,-0.1652,0.9564
39.5563,0.956,0.2622,-0.3887,0.8673
39.5799,0.9571,0.278,-0.4239,0.8566
39.6896,0.9561,0.3528,-0.618,0.8012
39.7283,0.952,0.3797,-0.6611,0.7786
39.8305,0.923,0.4515,-0.7427,0.7087
39.9748,0.7867,0.5502,-0.8264,0.5916
40.0601,0.662,0.6038,-0.8659,0.5215
40.0876,0.6362,0.6201,-0.8774,0.4995
40.1836,0.623,0.6732,-0.9123,0.4245
40.342,0.6009,0.7435,-0.9537,0.3001
40.343,0.6002,0.7439,-0.9539,0.2992
40.4878,0.4384,0.7845,-0.9781,0.17
40.5744,0.3156,0.8015,-0.9879,-0.0451
40.6094,0.2702,0.808,-0.9914,-0.1353
40.629,0.2488,0.8117,-0.9933,-0.1688
40.6816,0.2174,0.8222,-0.9914,-0.2389
40.7463,0.2177,0.8373,-0.9591,-0.3033
40.7792,0.213,0.8454,-0.9413,-0.3304
40.8278,0.1913,0.8575,-0.9155,-0.367
41.0496,-0.0043,0.9009,-0.7937,-0.5475
41.06,-0.0146,0.9022,-0.7876,-0.5615
41.2273,-0.1745,0.917,-0.6791,-0.8449
41.2321,-0.1786,0.9173,-0.6756,-0.8483
41.2873,-0.2233,0.9188,-0.6333,-0.882
41.5032,-0.3485,0.8935,-0.4008,-0.9651
41.5405,-0.3682,0.871,-0.3467,-0.9746
41.5965,-0.4003,0.7816,-0.2607,-0.9865
41.6461,-0.4311,0.7357,-0.1881,-0.9948
41.765,-0.5155,0.7046,-0.0458,-1.0058
41.854,-0.5978,0.6908,0.0418,-1.005
41.9135,-0.6861,0.6802,0.1022,-0.9992
41.962,-0.7422,0.6686,0.1549,-0.991
42.0152,-0.7729,0.6495,0.2162,-0.9782
42.0254,-0.7771,0.6445,0.2281,-0.9753
42.2154,-0.8283,0.4056,0.437,-0.896
42.2434,-0.8341,0.372,0.463,-0.8805
42.5004,-0.8858,0.1904,0.6651,-0.7032
42.5067,-0.8872,0.1887,0.6705,-0.6985
42.5534,-0.8973,0.1829,0.7137,-0.6634
42.5932,-0.9064,0.1852,0.7559,-0.6334
42.7274,-0.9398,0.1688,0.891,-0.5233
42.8166,-0.9628,0.1157,0.9459,-0.4191
42.8918,-0.9815,0.0553,0.9716,-0.2818
42.9843,-1.0018,-0.039,0.9851,-0.0822
43.0412,-1.0118,-0.1181,0.9869,-0.0075
43.1564,-1.0221,-0.3691,0.9792,0.0786
43.1815,-1.0218,-0.3828,0.9758,0.0969
43.1894,-1.0214,-0.3862,0.9746,0.1027
43.4688,-0.9262,-0.4481,0.8937,0.3385
43.5162,-0.898,-0.4734,0.8709,0.3881
43.5477,-0.8789,-0.5079,0.8536,0.4264
43.5851,-0.8568,-0.5454,0.8308,0.4906
